urlKey,condition,gender,brand,primaryTitle,retailPrice,releaseDate,days_since_release,gender_men,gender_women,gender_infant,gender_preschool,gender_toddler,gender_unisex,brand_ASICS,brand_Nike,brand_Jordan,brand_New Balance,brand_adidas,averagePrice_Dead_Stock,averagePrice_Annual_Statistics,salesCount_Annual,color1,condition_New,thumbUrl,size,lastSale
nike-air-max-1-susan-missing-link,New,men,Nike,Nike Air Max 1,170.0,2019-04-12,1838.0,True,False,False,False,False,False,False,True,False,False,False,323,323,146,Multi-Color,True,https://images.stockx.com/images/Nike-Air-Max-1-Susan-Missing-Link-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1606321303,11.0,219.0
nike-blazer-low-77-jumbo-white-old-royal,New,men,Nike,Nike Blazer Low 77 Jumbo,95.0,2022-04-11,743.0,True,False,False,False,False,False,False,True,False,False,False,105,105,94,White,True,https://images.stockx.com/images/Nike-Blazer-Low-77-Jumbo-White-Old-Royal-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683876281,5.0,42.0
nike-air-vapormax-plus-white-chrome-womens,New,women,Nike,Nike Air VaporMax Plus,210.0,2023-10-15,191.0,False,True,False,False,False,False,False,True,False,False,False,151,151,3,White,True,https://images.stockx.com/images/Nike-Air-VaporMax-Plus-White-Chrome-Womens.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1704960786,7.0,139.0
nike-lebron-zoom-soldier-10-dunkman,New,men,Nike,Nike LeBron Zoom Soldier 10,140.0,2016-08-18,2805.0,True,False,False,False,False,False,False,True,False,False,False,0,0,0,White,True,https://images.stockx.com/images/Nike-Lebron-Zoom-Soldier-10-Dunkman.png?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1627414697,14.0,139.0
new-balance-327-marblehead-team-forest-green,New,men,New Balance,New Balance 327,100.0,2022-03-31,754.0,True,False,False,False,False,False,False,False,False,True,False,97,97,52,Marblehead,True,https://images.stockx.com/images/New-Balance-327-Marblehead-Team-Forest-Green-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1694812201,4.0,101.0
air-jordan-1-mid-ss-six-championships-gs,New,child,Jordan,Jordan 1 Mid SS,120.0,2023-11-26,149.0,False,False,False,False,False,False,False,False,True,False,False,131,131,891,Black,True,https://images.stockx.com/images/Air-Jordan-1-Mid-SS-Six-Championships-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1701981387,5.5,115.0
nike-kd-13-recycled-collar-barely-volt,New,men,Nike,Nike KD 13,150.0,2021-03-07,1143.0,True,False,False,False,False,False,False,True,False,False,False,202,202,25,Platinum Tint,True,https://images.stockx.com/images/Nike-KD-13-Recycled-Collar-Barely-Volt-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1638903968,6.0,64.0
asics-gel-lyte-iii-atmos-x-solebox,New,men,ASICS,ASICS Gel-Lyte III,110.0,2018-10-08,2024.0,True,False,False,False,False,False,True,False,False,False,False,173,173,4,Grey,True,https://images.stockx.com/images/ASICS-Gel-Lyte-III-atmos-x-Solebox-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1606764589,11.5,116.0
air-jordan-1-retro-mcs-light-smoke-grey,New,men,Jordan,Jordan 1 Retro MCS,150.0,2023-10-12,194.0,True,False,False,False,False,False,False,False,True,False,False,141,141,12,Light Smoke Grey,True,https://images.stockx.com/images/Air-Jordan-1-Retro-MCS-Light-Smoke-Grey.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1706344808,9.5,131.0
adidas-cleat-bape-black,New,men,adidas,adidas Cleat,200.0,2019-02-02,1907.0,True,False,False,False,False,False,False,False,False,False,True,236,236,18,Black,True,https://images.stockx.com/images/adidas-Cleat-Bape-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1606938985,11.0,300.0
