Train Actual Price,Train Predicted Price ,%Predict 
136.0,131.29,96.53676470588235
80.0,80.8,101.0
175.0,191.28,109.30285714285715
70.0,83.25,118.92857142857143
146.0,139.35,95.44520547945206
539.0,493.48,91.5547309833024
59.0,54.96,93.15254237288136
179.0,194.84,108.84916201117318
119.0,179.98,151.24369747899158
176.0,191.9,109.0340909090909
81.0,98.36,121.4320987654321
106.0,108.86,102.69811320754715
91.0,87.95,96.64835164835165
82.0,93.64,114.1951219512195
384.0,578.61,150.6796875
88.0,89.04,101.1818181818182
134.0,131.66,98.25373134328358
84.0,91.72,109.19047619047619
86.0,87.41,101.63953488372093
122.0,116.61,95.58196721311475
187.0,179.42,95.94652406417111
96.0,100.64,104.83333333333333
210.0,205.73,97.96666666666665
222.0,203.43,91.63513513513514
721.0,639.81,88.73925104022192
115.0,111.81,97.22608695652174
127.0,117.39,92.43307086614173
114.0,112.78,98.9298245614035
92.0,100.61,109.3586956521739
1700.0,1479.98,87.05764705882353
163.0,151.45,92.91411042944785
62.0,71.51,115.33870967741937
155.0,150.22,96.91612903225807
176.0,162.61,92.39204545454545
166.0,174.0,104.81927710843372
277.0,215.81,77.90974729241877
127.0,127.0,100.0
128.0,122.73,95.8828125
92.0,81.36,88.43478260869566
156.0,148.79,95.37820512820512
140.0,132.67,94.7642857142857
90.0,84.69,94.1
224.0,223.3,99.6875
40.0,84.62,211.54999999999998
74.0,91.67,123.87837837837839
120.0,138.22,115.18333333333332
100.0,99.46,99.46
121.0,106.19,87.7603305785124
241.0,227.33,94.32780082987551
922.0,958.93,104.0054229934924
183.0,176.39,96.38797814207649
90.0,98.9,109.8888888888889
231.0,228.94,99.10822510822511
226.0,196.35,86.88053097345131
103.0,113.14,109.84466019417476
115.0,115.47,100.40869565217392
108.0,107.31,99.36111111111111
92.0,97.58,106.06521739130434
100.0,100.71,100.71
152.0,147.36,96.94736842105264
115.0,119.92,104.27826086956522
140.0,132.83,94.87857142857143
280.0,291.46,104.09285714285714
91.0,95.16,104.57142857142856
138.0,128.94,93.43478260869566
72.0,95.46,132.58333333333331
100.0,99.98,99.98
125.0,121.24,96.992
97.0,106.04,109.31958762886597
152.0,145.13,95.48026315789473
94.0,97.2,103.40425531914894
374.0,399.51,106.82085561497325
105.0,107.41,102.29523809523809
448.0,436.17,97.359375
177.0,179.98,101.68361581920904
69.0,76.51,110.8840579710145
93.0,94.13,101.21505376344086
117.0,116.64,99.6923076923077
60.0,61.83,103.05
92.0,98.57,107.14130434782606
113.0,109.46,96.86725663716813
145.0,511.02,352.42758620689654
155.0,191.43,123.50322580645161
108.0,100.59,93.1388888888889
456.0,488.35,107.09429824561406
172.0,253.23,147.22674418604652
127.0,136.19,107.23622047244095
103.0,106.45,103.3495145631068
85.0,83.61,98.36470588235294
117.0,121.51,103.85470085470085
116.0,97.82,84.32758620689654
56.0,64.52833333333334,115.22916666666667
92.0,100.53,109.27173913043478
198.0,196.57,99.27777777777777
46.0,49.39,107.36956521739131
113.0,113.45,100.39823008849558
180.0,167.4,93.0
156.0,153.65,98.49358974358975
250.0,233.0,93.2
91.0,94.37,103.7032967032967
167.0,157.09,94.06586826347305
48.0,96.95916666666665,201.99826388888886
372.0,352.65,94.79838709677418
119.0,112.72,94.72268907563026
101.0,100.51,99.51485148514851
79.0,87.23,110.41772151898735
749.0,710.99,94.92523364485982
122.0,122.38,100.31147540983608
166.0,149.42,90.01204819277108
103.0,98.61,95.7378640776699
83.0,88.02,106.04819277108433
150.0,164.68,109.78666666666668
127.0,112.74,88.77165354330708
179.0,168.97,94.39664804469274
88.0,84.31,95.80681818181819
136.0,152.76,112.3235294117647
184.0,184.37,100.20108695652175
