Test Actual Price,Test Predicted Price ,%Predict 
100.0,101.98,101.98
274.0,233.05,85.05474452554745
94.0,98.3,104.57446808510637
99.0,101.98,103.01010101010102
203.0,189.39,93.29556650246305
40.0,40.88,102.2
141.0,156.94,111.30496453900709
185.0,186.76,100.95135135135133
100.0,102.64,102.64
94.0,97.17,103.37234042553192
382.0,360.81,94.45287958115183
219.0,252.53,115.31050228310502
115.0,116.41,101.22608695652173
184.0,173.61,94.35326086956522
1409.0,1284.76,91.18239886444287
213.0,226.06,106.13145539906104
164.0,152.38,92.91463414634146
96.0,97.78,101.85416666666667
138.0,131.88,95.56521739130434
63.0,70.24,111.4920634920635
411.0,416.68,101.38199513381996
156.0,146.59,93.96794871794873
161.0,185.71,115.34782608695653
114.0,111.79,98.06140350877193
209.0,208.52,99.77033492822966
90.0,96.36,107.06666666666666
209.0,203.54,97.38755980861244
231.0,217.44,94.12987012987013
160.0,144.26,90.1625
156.0,157.43,100.91666666666667
151.0,132.9,88.01324503311258
181.0,298.83,165.09944751381212
273.0,242.01,88.64835164835164
229.0,202.04,88.22707423580786
175.0,167.18,95.53142857142858
495.0,458.48,92.62222222222223
164.0,172.24,105.02439024390245
141.0,142.96,101.39007092198582
112.0,107.3,95.80357142857142
119.0,112.27,94.34453781512605
99.0,103.72,104.76767676767678
111.0,110.78,99.8018018018018
135.0,149.21,110.52592592592593
113.0,112.84,99.85840707964601
113.0,108.56,96.070796460177
84.0,80.45,95.77380952380953
173.0,165.25,95.52023121387283
81.0,87.69,108.25925925925925
99.0,101.05,102.07070707070707
98.0,109.07,111.29591836734693
89.0,91.83,103.17977528089888
234.0,222.97,95.28632478632478
337.0,292.44,86.77744807121661
538.0,508.45,94.50743494423791
281.0,265.25,94.3950177935943
227.0,247.12,108.86343612334801
285.0,294.17,103.21754385964911
129.0,127.98,99.20930232558139
130.0,138.78,106.75384615384615
179.0,169.93,94.93296089385476
95.0,88.79833333333335,93.47192982456141
98.0,104.27,106.39795918367348
82.0,78.92,96.24390243902438
90.0,134.83,149.81111111111113
49.0,46.06,94.0
98.0,102.99,105.09183673469387
194.0,185.24,95.48453608247424
191.0,209.13,109.49214659685865
115.0,106.8,92.8695652173913
531.0,449.33,84.6195856873823
235.0,284.02,120.8595744680851
467.0,406.28,86.99785867237686
303.0,255.54,84.33663366336633
205.0,206.5,100.73170731707317
203.0,192.95,95.04926108374384
366.0,282.07,77.06830601092895
297.0,297.46,100.15488215488216
189.0,190.29,100.68253968253968
74.0,75.58,102.13513513513513
223.0,198.14,88.85201793721973
274.0,244.4,89.1970802919708
107.0,112.28,104.93457943925233
122.0,122.86,100.70491803278689
122.0,165.54,135.68852459016392
151.0,141.33,93.59602649006624
134.0,112.05,83.61940298507461
250.0,260.95,104.38000000000001
171.0,156.35,91.4327485380117
808.0,751.64,93.02475247524752
40.0,50.87,127.175
79.0,84.07,106.41772151898734
98.0,113.81,116.13265306122449
