Train Actual Price,Train Predicted Price ,%Predict 
136.0,108.137184,79.51263539931354
80.0,100.31157,125.38946151733398
175.0,214.88274,122.7901349748884
70.0,101.53562,145.05088806152344
146.0,152.65598,104.55888722040882
539.0,690.37897,128.08515162989912
59.0,59.33802,100.57291580458818
179.0,191.15388,106.7898798255281
119.0,292.82248,246.0693102924764
176.0,243.9659,138.61698670820758
81.0,103.8782,128.2446873040847
106.0,117.39877,110.75355961637676
91.0,97.3695,106.99944967751975
82.0,118.17031,144.11013533429403
384.0,695.42004,181.0989697774251
88.0,86.35257,98.12791997736151
134.0,116.369934,86.84323438957556
84.0,99.64371,118.62346104213171
86.0,99.30486,115.47077090241189
122.0,129.5755,106.20942662973873
187.0,134.54196,71.94757308551972
96.0,105.86803,110.27919451395671
210.0,198.2369,94.39852033342633
222.0,212.26932,95.61680974187078
721.0,639.0424,88.63279049009623
115.0,118.80079,103.30503380816916
127.0,100.02529,78.7600720022607
114.0,104.6438,91.79280598958334
92.0,124.90361,135.7647937277089
1700.0,1229.8926,72.34662224264706
163.0,117.01891,71.79074433683617
62.0,88.9404,143.45225672568046
155.0,170.14223,109.76917882119454
176.0,133.93706,76.1006008494984
166.0,136.1208,82.00048423675169
277.0,186.722,67.4086643039965
127.0,125.762474,99.02557012603039
128.0,131.07768,102.4044394493103
92.0,81.31225,88.38287851084834
156.0,156.90622,100.5809099246294
140.0,147.68974,105.49267360142298
90.0,83.28508,92.53897772894966
224.0,366.23767,163.49896022251673
40.0,171.23135,428.07838439941406
74.0,107.18514,144.84478718525656
120.0,165.56891,137.97409057617188
100.0,96.66939,96.66938781738281
121.0,118.00995,97.52888324832128
241.0,121.84772,50.559218790521264
922.0,1116.2572,121.06911086208649
183.0,183.42902,100.23443503457992
90.0,128.53523,142.81692504882812
231.0,325.4765,140.89891838304925
226.0,184.10706,81.46329896639934
103.0,115.93076,112.55413907245524
115.0,100.0993,87.04286658245584
108.0,104.52823,96.78539699978299
92.0,127.78739,138.89933876369312
100.0,115.809204,115.8092041015625
152.0,133.52208,87.84347333406147
115.0,125.734886,109.33468362559442
140.0,134.00026,95.71447099958147
280.0,339.82657,121.36663164411272
91.0,120.71248,132.6510754260388
138.0,104.66203,75.84205295728601
72.0,177.958,247.16387854682074
100.0,101.29769,101.29769134521484
125.0,92.76491,74.21192626953125
97.0,119.12781,122.81217280122422
152.0,150.85303,99.24541272615132
94.0,117.588585,125.09423925521526
374.0,351.9965,94.11670868409509
105.0,131.02211,124.78296189081102
448.0,313.7014,70.02263069152832
177.0,199.68626,112.81709832660223
69.0,114.6027,166.09086852142775
93.0,102.53037,110.24771249422463
117.0,108.11386,92.40500947349092
60.0,83.51277,139.18795267740884
92.0,119.70338,130.11236605436906
113.0,105.152405,93.0552254735896
145.0,483.9702,333.7725619612069
155.0,255.7339,164.98961417905747
108.0,94.128944,87.15642999719691
456.0,641.81616,140.74915835731906
172.0,367.7609,213.81447370662246
127.0,146.04118,114.9930578517163
103.0,122.34169,118.77833986745297
85.0,82.9474,97.58517994600184
